OBJECTID,Trail Segment Type,Location,Status,Structure ID,Material,Map Miles,Width (ft),Structure Type,Structure Tonnage,Trail Name,Owner,ADA,Shape__Length,Closure Status,Trailhead ID,GlobalID,AccessAddress,CouncilDistrict
740,Trail,House Creek Trail,Existing,NA,Asphalt,0.06340113,10,NA,0,House Creek Trail,COR,YES,334.698959000035,OPEN,176,2a8d9dbc-d6d9-4128-8a3c-6f712c001220,3408 Lake Boone Trl,E
741,Structure,House Creek Trail - # 2042,Existing,2042,Asphalt,0.01741749,10,Culvert,,House Creek Trail,COR,YES,91.9643280377742,OPEN,176,6f645b9b-0b62-43bf-a4e1-5c24bc46acf6,3720 Horton St,E
742,Trail,House Creek Trail,Existing,NA,Asphalt,0.1648785,10,NA,0,House Creek Trail,COR,YES,870.327722563679,OPEN,176,4100c687-265c-4b5e-a446-aab6cbdebe11,3720 Horton St,E
743,Trail,House Creek Trail,Existing,NA,Asphalt,0.25962421,10,NA,0,House Creek Trail,COR,NO,1370.65825777266,OPEN,178,e2653527-0a28-4b5c-aa80-16ad7b780c30,3804 Blue Ridge Rd,E
744,Trail,House Creek Trail,Existing,NA,Asphalt,0.10764442,10,NA,0,House Creek Trail,COR,YES,568.292108499745,OPEN,182,31aacc38-b775-4242-989e-08e4bc61da53,4301 Crabtree Valley Ave,E
745,Trail,House Creek Trail,Existing,NA,Asphalt,0.2195426,10,NA,0,House Creek Trail,COR,NO,1159.03863685807,OPEN,179,0f79c220-58ad-4d11-a5d5-d2854b1b9d8e,3980 Blue Ridge Rd,E
746,Structure,House Creek Trail - # 304,Existing,304,Concrete,0.02351749,10,Bridge,5,House Creek Trail,COR,NO,124.172334060874,OPEN,179,7207e64c-b32c-439c-97da-adcf3ab86dc7,3980 Blue Ridge Rd,E
747,Trail,House Creek Trail,Existing,NA,Asphalt,0.17130781,8,NA,0,House Creek Trail,COR,NO,904.384688449952,OPEN,178,71983584-5429-4675-be80-852e354d1d62,3804 Blue Ridge Rd,E
748,Trail,House Creek Trail,Existing,NA,Asphalt,0.03951296,8,NA,0,House Creek Trail,COR,NO,208.628430893202,OPEN,173,9e5211e7-07ba-4d27-8568-46654a92dcf6,1504 Glen Eden Dr,E
749,SidewalkConnection,House Creek Trail,Existing,NA,Concrete,0.0533849957591699,10,Sidewalk,0,House Creek Trail,COR,YES,281.872777530307,OPEN,173,62dd9aa7-bc2f-44cb-893f-0cf1f5310376,1504 Glen Eden Dr,E
750,SidewalkConnection,House Creek Trail,Existing,NA,Concrete,0.0230659061289687,10,Sidewalk,0,House Creek Trail,COR,YES,121.787984320078,OPEN,173,88cab6d7-edb4-4c4c-b343-36e89ccbebd4,1504 Glen Eden Dr,E
751,SidewalkConnection,House Creek Trail - # 302,Existing,302,Concrete,0.0411102260550058,10,Bridge,5,House Creek Trail,COR,YES,217.061993533002,OPEN,173,bb75d49e-ec9b-433f-8240-21f6ea3baf5f,1504 Glen Eden Dr,E
752,SidewalkConnection,House Creek Trail,Existing,NA,Asphalt,0.0490977010785174,10,NA,0,House Creek Trail,COR,YES,259.235861632655,OPEN,173,303f02c7-f4ed-4a17-9544-ef473a2ab6d3,1504 Glen Eden Dr,E
753,SidewalkConnection,House Creek Trail - # 2043,Existing,2043,Asphalt,0.0155693483731039,10,Culvert,,House Creek Trail,COR,YES,82.2061593830504,OPEN,173,c42f4005-bd81-47a7-af73-c207ba0cc4d1,1504 Glen Eden Dr,E
754,Structure,House Creek Trail -  # 303,Existing,303,Wood Decking,0.00677028,10,Bridge,5,House Creek Trail,COR,NO,35.7470992033151,OPEN,173,8b9787fa-e0a0-4bdc-9adc-10b5ee846f4e,1504 Glen Eden Dr,E
755,Trail,Crabtree Valley Segment,Existing,NA,Concrete,0.05497837,10,NA,0,Crabtree Creek Trail,COR,YES,290.28581385961,OPEN,90,accaa288-90bd-4ac9-90d2-d8ed701cc410,4498 Crabtree Valley Ave,E
756,Trail,Crabtree Valley Segment,Existing,NA,Asphalt,0.05377074,10,NA,0,Crabtree Creek Trail,COR,YES,283.909504127029,OPEN,90,ab61bfac-114c-4859-86eb-2e232887e8ec,4498 Crabtree Valley Ave,E
757,Trail,Crabtree Valley Segment,Existing,NA,Asphalt,0.02545776,10,NA,0,Crabtree Creek Trail,COR,YES,134.41696520554,OPEN,91,6bada06c-bc6c-4ad9-92a0-6ce0147bad63,4500 Crabtree Valley Ave,E
758,Structure,Crabtree-Oak Park Segment - # 2007,Existing,2007,Asphalt,0.01796247,10,Underpass,,Crabtree Creek Trail,COR,YES,94.8418476717713,OPEN,91,d7909189-d9c9-4e1e-ab6d-660616235a13,4500 Crabtree Valley Ave,E
759,Trail,Crabtree-Oak Park Segment,Existing,NA,Asphalt,0.07506741,10,NA,0,Crabtree Creek Trail,COR,YES,396.355947620331,OPEN,81,c67ce462-06b4-4ee1-bd4c-010ac262f422,4334 Galax Dr,E
760,Trail,Crabtree-Oak Park Segment,Existing,NA,Asphalt,0.00466621,10,NA,0,Crabtree Creek Trail,COR,YES,24.6376124216436,OPEN,85,a5e77305-1d32-4ade-874d-9e9dc82f2b14,5173 Glenwood Ave,E
761,Trail,Crabtree-Oak Park Segment,Existing,NA,Asphalt,0.04184067,10,NA,0,Crabtree Creek Trail,COR,YES,220.918728351817,OPEN,82,a813a279-41a7-42f9-9caa-6948c02ea794,4402 Lindsay Dr,E
